username,password,fullname,phone,thana,blood,emergency,time
Ayanokoji,humanaretools,Obaidul_Kader,01777777777,Darus Salam_Thana,AB+,YES,00/00/0000
Rias_DXD,Friends,Mishkat_Ahmed,01283939349,Chowkbazar_Thana,A-,YES,00/00/0000
Light,D_note,Hitler,01238347358,Shyampur_Thana,O-,YES,00/00/0000
Chatur,Gutibaji,Nayeem_hossain,01385735892,Kalabagan,AB+,YES,00/00/0000
Gojo,strongest,Rahim_Ali_Sukuna,01723456789,Gulshan_Thana,AB-,YES,00/00/0000
Eren,tatakae,Mohtasim,01943572852,Mirpur_Model_Thana,A+,YES,00/00/0000
goku,saitama,Iftekhar,01613391990,Mohammadpur_Thana,A+,YES,00/00/0000
nakibsaleh,1234,Nakib_Saleh,01613391990,Tejgaon_Industrial_Area,O+,YES,00/00/0000
natella,12321,Natella_Begum,01743231309,Dhanmondi_Thana,B-,YES,00/00/0000
asta,2137,Nafiz_Zia,01724734000,Khilgaon_Thana,A+,YES,00/00/0000
griffith,casca,Mal_mahin,01583743909,Cantonment_Thana,A+,YES,00/00/0000
Dhojo,2146,Mynur_dhoja,01876589350,Shahbag,B+,YES,00/00/0000
astral,projection,Md_Ashraful,01754267384,Vatara_Thana,O-,YES,00/00/0000
Baji,current,Daiyan_Rad,016875472834,Hazaribagh_Thana,AB-,YES,00/00/0000
gangni,sleep,Wasi_Habib,01987654325,Dhanmondi_Thana,B+,YES,05/06/2024
desiboy,0987,Auvro_das,01786543256,Mohammadpur_Thana,A-,YES,00/00/0000
DLD_king,moyna,Abul_Jehad,019827432877,Badda_Thana,O+,YES,00/00/0000
Choto,chottey,Noor_Labib,01876543256,Paltan,B-,YES,00/00/0000
siplus,cpcpcp,Mubtasim_Hasan,01567899767,New_Market_Thana,AB+,YES,00/00/0000
saiyan,vegeta,King_Vegeta,01777777777,Gulshan_Thana,B-,YES,00/00/0000
Haiyo,meyebaj,Jorjesul_Jarif,01613392036,Vatara_Thana,O+,NO,00/00/0000
Chickmagnet,28692077,Naved_Fardeen,01613392869,Mirpur_Model_Thana,B+,NO,00/00/0000
Kallu,kalo,Nayeem_Ahad,01818181818,Turag_Thana,B-,YES,00/00/0000
Black_Adam,123,Bulma,23456789,Sabujbagh_Thana,A-,YES,00/00/0000
CC,geas,Lelouch,01111111111,Gulshan_Thana,O+,YES,00/00/0000
Abra,Kadabra,Alakazam,01700000000,Sher-e-Bangla_Nagar,A+,NO,00/00/0000
